#{"t_start": 1787666512.4294102, "env_id": "None"}
r,l,t
3.290909,50,141.782841
3.225758,50,296.796734
2.3,50,451.756648
5.106061,50,615.535326
4.901515,50,770.671214
3.898485,50,939.821938
3.798485,50,1101.76491
5.268182,50,1253.257272
5.624243,50,1403.068169
5.295455,50,1545.638642
4.075758,50,1687.143404
4.075758,50,1830.587221
5.306061,50,1973.603022
4.828788,50,2126.963524
6.904546,50,2283.162019
6.298485,50,2434.787756
6.018182,50,2585.454171
6.448485,50,2741.204273
5.928788,50,2889.109651
6.99697,50,3042.816143
