#{"t_start": 1787591755.834041, "env_id": "None"}
r,l,t
9.577718,50,3.773233
8.373697,50,4.04174
9.749659,50,4.335528
7.857167,50,4.530875
7.243437,50,4.681814
10.034991,50,4.842631
8.561049,50,5.020778
10.141193,50,5.146113
9.625385,50,5.303368
11.54411,50,5.442584
9.363423,50,5.638903
11.651517,50,5.768179
11.858408,50,5.9157
11.49665,50,6.043266
11.440153,50,6.187444
12.58741,50,6.317565
12.071729,50,6.527498
13.830946,50,6.685251
11.577807,50,6.895482
10.119296,50,7.040634
12.475539,50,7.286345
12.872904,50,7.426123
11.475422,50,7.616644
10.983058,50,7.75496
13.219278,50,7.982131
13.275233,50,8.166577
12.40448,50,8.32947
12.390055,50,8.460692
11.863861,50,8.651479
11.852815,50,8.782585
11.016511,50,9.017152
11.9362,50,9.14026
10.38118,50,9.311922
11.415448,50,9.463264
11.498183,50,9.640938
11.023807,50,9.763959
11.283973,50,9.957168
12.81445,50,10.085098
11.570738,50,10.262033
11.892846,50,10.387365
12.202717,50,10.622533
12.097595,50,10.749047
10.793379,50,11.020163
13.496032,50,11.167155
12.692107,50,11.361937
11.826285,50,11.493257
12.859129,50,11.741997
11.122439,50,11.870252
10.634341,50,12.087923
13.009288,50,12.217573
13.035986,50,12.467045
12.460891,50,12.593634
14.189341,50,12.804177
12.133721,50,12.962261
12.060295,50,13.201583
11.853528,50,13.3427
12.635751,50,13.560014
12.910357,50,13.733178
11.006421,50,13.963649
12.295961,50,14.10298
12.643335,50,14.372753
13.044319,50,14.545693
12.720733,50,14.773147
13.303567,50,14.900242
12.441609,50,15.172895
13.915857,50,15.325537
13.668488,50,15.559329
11.741917,50,15.68793
12.292949,50,15.925063
11.796967,50,16.071334
12.27634,50,16.331689
14.125771,50,16.466484
13.687905,50,16.699338
11.474992,50,16.828537
14.007207,50,17.071581
13.652922,50,17.200599
12.90318,50,17.433416
15.016126,50,17.56324
12.313064,50,17.80347
13.064466,50,17.932198
13.005611,50,18.235587
12.507491,50,18.405599
12.566798,50,18.694647
12.310302,50,18.840647
11.091118,50,19.131922
11.514768,50,19.261892
13.389851,50,19.516556
11.801638,50,19.645522
12.967258,50,19.897829
13.056018,50,20.027426
12.465234,50,20.448384
12.602535,50,20.603019
12.979678,50,20.866666
13.867164,50,21.015158
12.996591,50,21.31612
12.88785,50,21.507601
12.202545,50,21.768329
13.830317,50,21.927831
13.791394,50,22.209211
12.756917,50,22.341193
